,model,fold,accuracy,precision,recall,fmeasure
0,cen1,0,0.86,1.0,0.8,0.888888888888889
1,cen2,0,0.76,0.7674418604651163,0.9428571428571428,0.8461538461538461
2,cen1,1,0.7,0.9285714285714286,0.6666666666666666,0.7761194029850746
3,cen2,1,0.76,0.8461538461538461,0.8461538461538461,0.8461538461538461
4,cen1,2,0.7,0.78125,0.7575757575757576,0.7692307692307692
5,cen2,2,0.82,0.875,0.8484848484848485,0.8615384615384615
6,cen1,3,0.76,0.90625,0.7631578947368421,0.8285714285714286
7,cen2,3,0.78,0.7755102040816326,1.0,0.8735632183908045
8,cen1,4,0.82,0.8285714285714286,0.90625,0.8656716417910447
9,cen2,4,0.7,0.7428571428571429,0.8125,0.7761194029850748
10,cen1,5,0.72,0.7352941176470589,0.8333333333333334,0.78125
11,cen2,5,0.7,0.6923076923076923,0.9,0.7826086956521738
12,cen1,6,0.68,0.8620689655172413,0.6756756756756757,0.7575757575757576
13,cen2,6,0.8,0.8648648648648649,0.8648648648648649,0.8648648648648649
14,cen1,7,0.74,0.8846153846153846,0.696969696969697,0.7796610169491526
15,cen2,7,0.76,0.8387096774193549,0.7878787878787878,0.8125
16,cen1,8,0.66,0.7647058823529411,0.7428571428571429,0.7536231884057971
17,cen2,8,0.76,0.7948717948717948,0.8857142857142857,0.8378378378378378
18,cen1,9,0.7,0.7407407407407407,0.7142857142857143,0.7272727272727273
19,cen2,9,0.7,0.7241379310344828,0.75,0.736842105263158
20,cen1,10,0.86,0.9090909090909091,0.8823529411764706,0.8955223880597014
21,cen2,10,0.76,0.84375,0.7941176470588235,0.8181818181818182
22,cen1,11,0.84,0.8974358974358975,0.8974358974358975,0.8974358974358975
23,cen2,11,0.84,0.8604651162790697,0.9487179487179487,0.9024390243902439
24,cen1,12,0.72,0.8928571428571429,0.6944444444444444,0.78125
25,cen2,12,0.78,0.8048780487804879,0.9166666666666666,0.8571428571428571
26,cen1,13,0.8,0.8823529411764706,0.8333333333333334,0.8571428571428571
27,cen2,13,0.78,0.7906976744186046,0.9444444444444444,0.8607594936708861
28,cen1,14,0.74,0.9230769230769231,0.6857142857142857,0.7868852459016394
29,cen2,14,0.72,0.7837837837837838,0.8285714285714286,0.8055555555555555
30,cen1,15,0.68,0.8518518518518519,0.6571428571428571,0.7419354838709677
31,cen2,15,0.74,0.8666666666666667,0.7428571428571429,0.8
32,cen1,16,0.82,0.918918918918919,0.85,0.8831168831168831
33,cen2,16,0.86,0.8837209302325582,0.95,0.9156626506024096
34,cen1,17,0.74,0.8235294117647058,0.8,0.8115942028985507
35,cen2,17,0.76,0.7674418604651163,0.9428571428571428,0.8461538461538461
36,cen1,18,0.7,0.8333333333333334,0.7142857142857143,0.7692307692307692
37,cen2,18,0.76,0.7555555555555555,0.9714285714285714,0.85
38,cen1,19,0.72,0.8620689655172413,0.7142857142857143,0.7812500000000001
39,cen2,19,0.74,0.7619047619047619,0.9142857142857143,0.8311688311688312
